location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Esenyurt , Pınar Mah.,2,1,100,10,4,11000
İstanbul , Sarıyer , Cumhuriyet Mah.,3,1,140,28,2,48000
İstanbul , Fatih , Topkapı Mah.,3,1,145,32,1,30000
İstanbul , Bakırköy , Cevizlik Mah.,2,1,85,40,2,25000
İstanbul , Pendik , Güzelyalı Mah.,3,1,115,15,2,26000
İstanbul , Sarıyer , Ayazağa Mah.,1,1,65,35,1,20000
İstanbul , Esenler , Oruçreis Mah.,2,1,120,34,2,17500
İstanbul , Kağıthane , Emniyet Evleri Mah.,2,1,100,35,1,25000
İstanbul , Beşiktaş , Gayrettepe Mah.,3,1,140,45,-2,42500
İstanbul , Şişli , İnönü Mah.,1,1,65,30,-1,18000
İstanbul , Ataşehir , Kayışdağı Mah.,2,1,70,10,1,32000
İstanbul , Fatih , Topkapı Mah.,2,1,90,29,2,21500
İstanbul , Avcılar , Merkez Mah.,1,1,65,2,1,16000
İstanbul , Avcılar , Cihangir Mah.,2,1,95,7,1,19000
İstanbul , Şişli , Teşvikiye Mah.,1,1,70,1,1,100000
İstanbul , Arnavutköy , Hadımköy Mah.,2,1,75,16,3,15000
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,1,1,60,0,1,21000
İstanbul , Şişli , Fulya Mah.,2,1,80,26,2,20000
İstanbul , Fatih , Seyyid Ömer Mah.,1,1,75,45,1,15500
İstanbul , Küçükçekmece , Kemalpaşa Mah.,2,1,100,32,5,18500
İstanbul , Kağıthane , Gürsel Mah.,2,1,75,40,1,25000
İstanbul , Şişli , Gülbahar Mah.,2,1,85,12,1,21000
İstanbul , Kağıthane , Hürriyet Mah.,2,1,90,3,1,21000
İstanbul , Şişli , Duatepe Mah.,2,1,85,30,2,29000
İstanbul , Fatih , Mevlanakapı Mah.,2,1,85,36,1,18000
İstanbul , Sarıyer , Cumhuriyet Mah.,2,1,105,26,2,37500
İstanbul , Şişli , Bozkurt Mah.,3,1,100,45,3,30000
İstanbul , Bayrampaşa , Yıldırım Mah.,3,1,130,30,1,23000
İstanbul , Beykoz , Paşabahçe Mah.,1,1,71,30,2,23500
İstanbul , Şişli , Eskişehir Mah.,1,1,55,35,-1,14500
İstanbul , Ümraniye , Tatlısu Mah.,1,1,60,2,8,30000
İstanbul , Kağıthane , Çağlayan Mah.,2,1,80,8,3,16500
İstanbul , Sarıyer , Çamlıtepe Mah.,1,1,80,30,1,15000
İstanbul , Bahçelievler , Hürriyet Mah.,2,1,80,24,1,15000
İstanbul , Beşiktaş , Mecidiye Mah.,2,1,100,35,2,29000
İstanbul , Bahçelievler , Bahçelievler Mah.,4,1,180,35,3,45000
İstanbul , Şişli , Mecidiyeköy Mah.,2,1,85,30,5,17500
İstanbul , Beyoğlu , Pürtelaş Hasan Efendi Mah.,2,1,100,25,3,50000
İstanbul , Maltepe , Küçükyalı Mah.,3,1,115,0,3,62000
İstanbul , Üsküdar , Beylerbeyi Mah.,2,1,117,20,1,42500
İstanbul , Ümraniye , Çakmak Mah.,1,1,60,15,1,17500
İstanbul , Kağıthane , Çağlayan Mah.,1,1,80,18,3,21000
İstanbul , Küçükçekmece , Atatürk Mah.,2,1,100,30,2,13000
İstanbul , Üsküdar , Çengelköy Mah.,3,1,150,1,1,75000
İstanbul , Şişli , Fulya Mah.,2,1,89,7,5,51500
İstanbul , Şişli , Fulya Mah.,2,1,120,30,5,60000
İstanbul , Esenyurt , İnönü Mah.,1,1,75,5,1,8500
İstanbul , Bakırköy , Kartaltepe Mah.,4,1,185,31,4,66500
İstanbul , Güngören , Gençosman Mah.,2,1,100,10,3,25000
İstanbul , Kartal , Esentepe Mah.,2,1,105,5,4,35000
İstanbul , Bahçelievler , Soğanlı Mah.,3,1,130,25,4,35000
İstanbul , Eyüpsultan , Yeşilpınar Mah.,1,1,60,15,4,13500
İstanbul , Üsküdar , Ferah Mah.,2,1,65,11,-1,23000
İstanbul , Fatih , Hırka-i Şerif Mah.,2,1,85,41,1,16000
İstanbul , Esenyurt , İncirtepe Mah.,2,1,135,2,3,30000
