location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Başakşehir , Kayabaşı Mah.,1,1,83,12,4,21000,0.000891323724428792,0.000891323724428792,0.001
İstanbul , Beylikdüzü , Cumhuriyet Mah.,2,1,100,8,2,6500,0.00026087523641818303,0.00026087523641818303,0.0
İstanbul , Üsküdar , Küplüce Mah.,2,1,90,25,1,15000,0.000630448488010609,0.10063044848801062,0.091
İstanbul , Çekmeköy , Merkez Mah.,3,2,165,5,4,37000,0.0015869910215439466,0.0015869910215439466,0.001
İstanbul , Beykoz , Ortaçeşme Mah.,1,1,70,25,1,13000,0.0005434900758712146,0.0005434900758712146,0.0
İstanbul , Bayrampaşa , Kocatepe Mah.,3,1,170000,30,3,28000,0.001195678166916672,0.001195678166916672,0.001
İstanbul , Gaziosmanpaşa , Fevzi Çakmak Mah.,1,1,80,27,4,11000,0.00045653166373182025,0.00045653166373182025,0.0
İstanbul , Bahçelievler , Şirinevler Mah.,5,1,150,30,-1,7000,0.0002826148394530316,0.0002826148394530316,0.0
İstanbul , Gaziosmanpaşa , Kazım Karabekir Mah.,2,1,135,25,3,14000,0.0005869692819409117,0.0005869692819409117,0.001
İstanbul , Sultangazi , Yayla Mah.,1,1,65,25,1,10000,0.0004130524576621231,0.0004130524576621231,0.0
İstanbul , Bahçelievler , Şirinevler Mah.,3,1,130,20,3,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Eyüpsultan , Yeşilpınar Mah.,2,1,85,10,3,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Beşiktaş , Abbasağa Mah.,2,1,99,12,3,90000,0.0038913889432378966,0.1038913889432379,0.094
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,180,17,1,60000,0.0025870127611469815,0.10258701276114698,0.093
İstanbul , Kağıthane , Gürsel Mah.,2,1,85,0,2,25500,0.0010869801517424291,0.0010869801517424291,0.001
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,130,16,1,40000,0.001717428639753038,0.001717428639753038,0.002
İstanbul , Kağıthane , Yahya Kemal Mah.,1,1,65,30,3,19500,0.0008261049153242462,0.0008261049153242462,0.001
İstanbul , Şişli , Gülbahar Mah.,2,1,85,25,-1,40000,0.001717428639753038,0.10171742863975304,0.092
İstanbul , Ataşehir , İnönü Mah.,1,1,55,16,1,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Kadıköy , Fikirtepe Mah.,1,1,57,3,21,37000,0.0015869910215439466,0.10158699102154395,0.092
İstanbul , Silivri , Yeni Mah.,1,1,65,4,3,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Sarıyer , Maslak Mah.,3,1,170,14,20,90000,0.0038913889432378966,0.1038913889432379,0.094
İstanbul , Sarıyer , Maslak Mah.,1,1,90,10,8,50000,0.00215222070045001,0.10215222070045002,0.093
İstanbul , Şişli , Kuştepe Mah.,1,0,35,15,1,18000,0.0007608861062197005,0.10076088610621971,0.092
İstanbul , Beyoğlu , Katip Mustafa Çelebi Mah.,2,1,90,20,2,30000,0.0012826365790560665,0.10128263657905608,0.092
İstanbul , Pendik , Fevzi Çakmak Mah.,2,1,85,20,4,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Bağcılar , Fevzi Çakmak Mah.,3,1,173,0,16,38000,0.0016304702276136438,0.0016304702276136438,0.001
İstanbul , Bağcılar , Yıldıztepe Mah.,2,1,95,27,4,16000,0.0006739276940803061,0.0006739276940803061,0.001
İstanbul , Üsküdar , Mimar Sinan Mah.,1,0,25,0,1,18000,0.0007608861062197005,0.10076088610621971,0.092
İstanbul , Küçükçekmece , İnönü Mah.,2,1,132,14,6,41000,0.0017609078458227353,0.0017609078458227353,0.002
İstanbul , Fatih , Sümbül Efendi Mah.,1,1,65,30,1,13000,0.0005434900758712146,0.10054349007587123,0.091
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,200,1,3,110000,0.00476097306463184,0.10476097306463185,0.095
İstanbul , Sarıyer , Zekeriyaköy Mah.,4,2,400,16,0,210000,0.009108893671601557,0.10910889367160156,0.099
İstanbul , Bayrampaşa , Cevatpaşa Mah.,2,1,100,25,2,16000,0.0006739276940803061,0.0006739276940803061,0.001
İstanbul , Kağıthane , Çağlayan Mah.,1,1,90,30,3,22000,0.0009348029304984891,0.0009348029304984891,0.001
İstanbul , Arnavutköy , Anadolu Mah.,2,1,80,1,-1,16000,0.0006739276940803061,0.0006739276940803061,0.001
İstanbul , Fatih , Seyyid Ömer Mah.,1,1,65,45,1,12500,0.0005217504728363661,0.10052175047283637,0.091
İstanbul , Kadıköy , Fikirtepe Mah.,2,1,110,5,2,55000,0.0023696167307984957,0.1023696167307985,0.093
İstanbul , Fatih , Cibali Mah.,1,1,70,37,3,15000,0.000630448488010609,0.10063044848801062,0.091
İstanbul , Beyoğlu , Cihangir Mah.,2,1,151,90,1,70000,0.003021804821843953,0.10302180482184396,0.094
