list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
51.000,Kiralık Daire,İstanbul , Bakırköy , Zuhuratbaba Mah.,4,1,175,26,5
40.000,Kiralık Daire,İstanbul , Sarıyer , Kireçburnu Mah.,3,1,130,2,1
32.000,Kiralık Daire,İstanbul , Eyüpsultan , Mithatpaşa Mah.,1,1,57,7,3
120.000,Kiralık Daire,İstanbul , Kadıköy , Caddebostan Mah.,4,1,200,40,1
35.000,Kiralık Daire,İstanbul , Maltepe , Küçükyalı Mah.,3,1,115,35,2
125.000,Kiralık Yalı Dairesi,İstanbul , Beykoz , Kanlıca Mah.,2,1,80,40,1
70.000,Kiralık Daire,İstanbul , Kadıköy , Göztepe Mah.,4,1,220,25,4
31.000,Kiralık Daire,İstanbul , Maltepe , Cevizli Mah.,2,1,75,1,1
38.000,Kiralık Daire,İstanbul , Eyüpsultan , Göktürk Merkez Mah.,1,1,90,15,1
28.000,Kiralık Daire,İstanbul , Büyükçekmece , Atatürk Mah.,5,1,270,25,4
21.000,Kiralık Daire,İstanbul , Pendik , Fevzi Çakmak Mah.,3,1,130,15,3
26.000,Kiralık Residence,İstanbul , Kağıthane , Merkez Mah.,1,1,44,8,6
55.000,Kiralık Daire,İstanbul , Üsküdar , Salacak Mah.,3,1,120,26,1
45.000,Kiralık Daire,İstanbul , Sarıyer , İstinye Mah.,3,1,148,27,4
285.000,Kiralık Daire,İstanbul , Şişli , Esentepe Mah.,3,1,200,14,7
44.000,Kiralık Daire,İstanbul , Kadıköy , Sahrayı Cedit Mah.,3,1,110,35,7
25.000,Kiralık Daire,İstanbul , Bahçelievler , Bahçelievler Mah.,2,1,95,30,2
45.000,Kiralık Daire,İstanbul , Beşiktaş , Muradiye Mah.,3,1,120,40,2
35.000,Kiralık Daire,İstanbul , Kadıköy , Hasanpaşa Mah.,3,1,126,26,4
25.000,Kiralık Daire,İstanbul , Şişli , Gülbahar Mah.,3,1,120,25,2
29.000,Kiralık Daire,İstanbul , Ümraniye , Çamlık Mah.,3,1,140,14,7
35.000,Kiralık Müstakil Ev,İstanbul , Sarıyer , Çamlıtepe Mah.,2,1,110,20,0
17.000,Kiralık Daire,İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,120,8,6
