list-view-price,left,celly 3,celly 4,location,districk,neighborhood,room,living_room,area
25.000,Kiralık Daire,"37
                        Yaşında",4. Kat,İstanbul , Fatih , Seyyid Ömer Mah.,1,1,85
18.000,Kiralık Daire,"35
                        Yaşında",Yüksek Giriş,İstanbul , Bahçelievler , Bahçelievler Mah.,1,1,65
20.000,Kiralık Daire,"8
                        Yaşında",4. Kat,İstanbul , Kağıthane , Çağlayan Mah.,1,1,60
57.000,Kiralık Residence,"5
                        Yaşında",21 ve üzeri,İstanbul , Şişli , Cumhuriyet Mah.,1,1,92
25.000,Kiralık Daire,"5
                        Yaşında",2. Kat,İstanbul , Büyükçekmece , Ekinoba Mah.,2,1,70
42.000,Kiralık Daire,"5
                        Yaşında",Bahçe Katı,İstanbul , Maltepe , İdealtepe Mah.,2,1,90
30.000,Kiralık Daire,"20
                        Yaşında",2. Kat,İstanbul , Üsküdar , Bulgurlu Mah.,3,1,100
35.000,Kiralık Daire,"23
                        Yaşında",En Üst Kat,İstanbul , Gaziosmanpaşa , Yenidoğan Mah.,2,1,200
18.000,Kiralık Daire,"10
                        Yaşında",Giriş Katı,İstanbul , Avcılar , Merkez Mah.,1,1,80
35.000,Kiralık Daire,"30
                        Yaşında",En Üst Kat,İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,75
70.000,Kiralık Daire,"13
                        Yaşında",3. Kat,İstanbul , Maltepe , Cevizli Mah.,3,1,140
18.000,Kiralık Daire,"8
                        Yaşında",6. Kat,İstanbul , Esenyurt , Piri Reis Mah.,1,1,75
50.000,Kiralık Daire,"30
                        Yaşında",2. Kat,İstanbul , Beyoğlu , Cihangir Mah.,2,1,100
85.000,Kiralık Daire,"12
                        Yaşında",7. Kat,İstanbul , Kadıköy , Caddebostan Mah.,3,1,125
22.000,Kiralık Daire,Sıfır Bina,1. Kat,İstanbul , Pendik , Fatih Mah.,2,1,95
25.000,Kiralık Daire,"7
                        Yaşında",1. Kat,İstanbul , Kartal , Esentepe Mah.,2,1,78
43.000,Kiralık Daire,"5
                        Yaşında",Zemin,İstanbul , Kadıköy , Caferağa Mah.,1,1,60
46.000,Kiralık Daire,"2
                        Yaşında",9. Kat,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,100
25.000,Kiralık Daire,"9
                        Yaşında",3. Kat,İstanbul , Sancaktepe , Fatih Mah.,4,1,160
58.000,Kiralık Daire,Sıfır Bina,2. Kat,İstanbul , Bakırköy , Zuhuratbaba Mah.,2,1,85
95.000,Kiralık Daire,"35
                        Yaşında",5. Kat,İstanbul , Kadıköy , Caferağa Mah.,3,1,165
95.000,Kiralık Daire,"10
                        Yaşında",1. Kat,İstanbul , Bakırköy , Osmaniye Mah.,1,1,195
55.000,Kiralık Daire,"38
                        Yaşında",2. Kat,İstanbul , Bakırköy , Yeşilköy Mah.,3,1,190
20.000,Kiralık Daire,"2
                        Yaşında",3. Kat,İstanbul , Arnavutköy , Boğazköy İstiklal Mah.,2,1,107
25.000,Kiralık Daire,"8
                        Yaşında",5. Kat,İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,2,1,180
130.000,Kiralık Daire,"27
                        Yaşında",Villa Katı,İstanbul , Sarıyer , Kireçburnu Mah.,6,2,400
